amount,log_amount,amount_zscore,amount_vs_user_avg,amount_vs_user_std,is_high_amount,is_very_high_amount,user_tx_count,user_tx_last_hour,user_tx_last_day,velocity_ratio,hour,day_of_week,is_weekend,is_night,is_business_hours,merchant_risk_score,is_high_risk_location,is_high_risk_category,is_new_merchant,amount_x_merchant_risk,amount_x_night,is_fraud,user_id,merchant,category,location
347.27,5.853,0.2432,-0.0291,-1.21,0,0,67,15,9,2.2841,6,4,0,0,0,0.0732,0,0,1,0.0178,0.0,0,USR-0103,Starbucks,utilities,"San Francisco, US"
827.14,6.7192,1.4428,-0.2257,-4.4905,0,0,185,15,6,1.0343,5,4,0,1,0,0.249,0,0,1,0.3593,1.4428,0,USR-0180,Netflix,retail,"San Francisco, US"
162.09,5.0943,-0.2198,0.0364,-2.0406,0,0,61,2,15,0.7736,11,4,0,0,1,0.2322,0,0,0,-0.051,-0.0,0,USR-0093,Uber,utilities,"New York, US"
737.12,6.6041,1.2178,3.7582,0.6965,0,0,68,15,21,0.7359,4,2,0,1,0,0.7669,1,0,0,0.9339,1.2178,0,USR-0015,PawnShop Plus,utilities,offshore
297.2,5.6978,0.118,0.7229,2.7404,0,0,63,1,3,0.8425,14,3,0,0,1,0.01,0,0,0,0.0012,0.0,0,USR-0107,Shell Gas,healthcare,"Seattle, US"
599.83,6.3983,0.8746,-0.4413,1.434,0,0,33,10,26,2.4412,2,1,0,1,0,0.99,0,1,1,0.8659,0.8746,1,USR-0072,Wire Transfer Co,gambling,"Chicago, US"
385.33,5.9567,0.3383,0.5357,-2.9472,0,0,156,8,4,0.5739,8,5,1,0,0,0.6518,0,0,1,0.2205,0.0,0,USR-0189,CryptoBridge,utilities,"New York, US"
126.02,4.8443,-0.31,-0.7644,1.7511,0,0,58,1,5,3.1857,14,1,0,0,1,0.6154,1,0,0,-0.1908,-0.0,1,USR-0021,Unknown Vendor,clothing,Unknown Location
139.05,4.942,-0.2774,3.7507,-2.8002,0,0,47,7,9,1.2871,9,3,0,0,1,0.1136,0,1,0,-0.0315,-0.0,0,USR-0103,Starbucks,electronics,"San Francisco, US"
1855.11,7.5262,4.0128,1.1797,-1.8773,1,0,66,13,6,1.3145,1,1,0,1,0,0.5209,1,1,0,2.0903,4.0128,0,USR-0122,Shell Gas,gambling,anonymous
457.44,6.1278,0.5186,-2.3392,-1.4746,0,0,99,15,3,1.0475,2,3,0,1,0,0.2677,0,0,1,0.1388,0.5186,0,USR-0075,Uber,healthcare,"Austin, US"
658.04,6.4908,1.0201,0.6974,2.7716,0,0,140,10,21,1.5315,3,6,1,1,0,0.0123,1,1,1,0.0125,1.0201,0,USR-0088,Shell Gas,gambling,offshore
1165.77,7.062,2.2894,2.11,1.2073,1,0,111,0,3,1.3641,11,4,0,0,1,0.0696,0,1,0,0.1593,0.0,0,USR-0117,Walmart,electronics,"Seattle, US"
749.2,6.6203,1.248,-1.2769,4.6813,0,0,63,11,8,0.6167,4,0,0,1,0,0.4944,1,0,1,0.617,1.248,1,USR-0100,Uber,food,Unknown Location
778.07,6.6581,1.3202,-0.3063,0.9356,0,0,52,7,5,0.5781,22,5,1,0,0,0.01,0,0,0,0.0132,0.0,0,USR-0104,Walmart,clothing,"Seattle, US"
781.84,6.6629,1.3296,0.7307,2.76,0,0,95,1,4,2.0189,22,5,1,0,0,0.1745,0,0,0,0.232,0.0,0,USR-0152,Target,retail,"San Francisco, US"
1439.94,7.2731,2.9748,3.3479,3.4617,1,0,130,3,5,0.6612,2,4,0,1,0,0.3773,1,1,1,1.1224,2.9748,1,USR-0131,McDonald's,travel,anonymous
336.71,5.8222,0.2168,2.5109,0.7632,0,0,175,8,6,1.6811,4,4,0,1,0,0.6736,1,1,1,0.146,0.2168,0,USR-0150,Unknown Vendor,electronics,offshore
633.85,6.4534,0.9596,0.9677,-1.4206,0,0,41,0,4,0.6605,1,0,0,1,0,0.01,0,0,0,0.0096,0.9596,0,USR-0053,Starbucks,healthcare,"San Francisco, US"
